id|title|original_language|runtime|revenue|genre|release_date|production_country|dir_id|vote_average|vote_count|production_company
5|Four Rooms|en|(94,99]|4300000|Crime|1995|United States of America|2|6|485|Miramax Films
6|Judgment Night|en|(104,110]|12136938|Action|1993|Japan|3|6|69|Universal Pictures
11|Star Wars|en|(118,131]|775398007|Adventure|1977|United States of America|6|7|6168|Lucasfilm
12|Finding Nemo|en|(99,104]|940335536|Animation|2003|United States of America|7|7|5531|Pixar Animation Studios
13|Forrest Gump|en|(131,240]|677945399|Comedy|1994|United States of America|8|8|7204|Paramount Pictures
14|American Beauty|en|(118,131]|356296601|Drama|1999|United States of America|9|7|2994|DreamWorks SKG
15|Citizen Kane|en|(118,131]|23217674|Mystery|1941|United States of America|10|7|1110|RKO Radio Pictures
16|Dancer in the Dark|en|(131,240]|40031879|Drama|2000|Argentina|11|7|348|Fine Line Features
18|The Fifth Element|en|(118,131]|263920180|Adventure|1997|France|13|7|3629|Columbia Pictures
19|Metropolis|de|(131,240]|650422|Drama|1927|Germany|14|7|614|Paramount Pictures
20|My Life Without Me|en|(104,110]|9726954|Drama|2003|Canada|15|7|75|El Deseo
22|Pirates of the Caribbean: The Curse of the Black Pearl|en|(131,240]|655011224|Adventure|2003|United States of America|17|7|6368|Walt Disney Pictures
24|Kill Bill: Vol. 1|en|(110,118]|180949000|Action|2003|United States of America|18|7|4486|Miramax Films
25|Jarhead|en|(118,131]|96889998|Drama|2005|Germany|9|6|722|Universal Pictures
27|9 Songs|en|(0.761,88]|1574623|Drama|2004|United Kingdom|20|5|95|Revolution Films
28|Apocalypse Now|en|(131,240]|89460381|Drama|1979|United States of America|21|7|1869|United Artists
33|Unforgiven|en|(118,131]|159157447|Western|1992|United States of America|25|7|1036|Malpaso Productions
35|The Simpsons Movie|en|(0.761,88]|527068851|Animation|2007|United States of America|26|6|2043|Gracie Films
38|Eternal Sunshine of the Spotless Mind|en|(104,110]|72258126|Science Fiction|2004|United States of America|27|7|3330|Anonymous Content
55|Amores perros|es|(131,240]|20908467|Drama|2000|Mexico|28|7|486|Altavista Films
58|Pirates of the Caribbean: Dead Mans Chest|en|(131,240]|1065659812|Adventure|2006|Jamaica|17|6|4795|Walt Disney Pictures
59|A History of Violence|en|(94,99]|60740827|Drama|2005|Germany|29|6|781|New Line Cinema
62|2001: A Space Odyssey|en|(131,240]|68700000|Science Fiction|1968|United Kingdom|30|7|2749|Stanley Kubrick Productions
63|Twelve Monkeys|en|(118,131]|168840000|Science Fiction|1995|United States of America|31|7|2227|Universal Pictures
64|Talk to Her|es|(110,118]|51001550|Drama|2002|Spain|32|7|240|Via Digital
65|8 Mile|en|(104,110]|2.15e+08|Drama|2002|United States of America|33|6|1490|Imagine Entertainment
66|Absolute Power|en|(118,131]|50068310|Crime|1997|United States of America|25|6|204|Columbia Pictures
67|Paradise Now|en|(88,94]|3357075|Thriller|2005|France|34|6|59|Lama Films
69|Walk the Line|en|(131,240]|186438883|Drama|2005|Germany|35|7|675|Tree Line Films
70|Million Dollar Baby|en|(131,240]|216763646|Drama|2004|United States of America|25|7|2189|Lakeshore Entertainment
71|Billy Elliot|en|(104,110]|1.1e+08|Drama|2000|France|36|7|657|BBC Films
73|American History X|en|(118,131]|23875127|Drama|1998|United States of America|37|8|2747|New Line Cinema
74|War of the Worlds|en|(110,118]|591739379|Adventure|2005|United States of America|38|6|2098|Paramount Pictures
75|Mars Attacks!|en|(104,110]|101371017|Comedy|1996|United States of America|39|6|1386|Tim Burton Productions
76|Before Sunrise|en|(104,110]|5535405|Drama|1995|Austria|40|7|886|Detour Film Production
77|Memento|en|(110,118]|39723096|Mystery|2000|United States of America|41|8|3632|Summit Entertainment
78|Blade Runner|en|(110,118]|33139618|Science Fiction|1982|United States of America|42|7|3222|Shaw Brothers
79|Hero|zh|(94,99]|177394432|Drama|2002|China|43|7|591|Beijing New Picture Film Co. Ltd.
